Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
T1_CG44.contigs	327	3762044	122241	31376	71
T1_CG44.final	152	3660768	122241	32746	71
T1_CG45.contigs	326	3761748	73566	33754	71
T1_CG45.final	155	3678188	73566	34737	71
T1_CG46.contigs	61	3739159	395845	177677	71
T1_CG46.final	39	3730901	395845	177677	71
T1_CG47.contigs	75	3739763	319898	140341	71
T1_CG47.final	46	3728767	319898	140341	71
T1_CG48.contigs	72	3739408	376867	180281	71
T1_CG48.final	44	3728235	376867	180281	71
T1_CG5.contigs	320	3765254	123171	43078	71
T1_CG5.final	121	3661198	123171	43592	71
T1_CG6.contigs	240	3755422	159029	54109	71
T1_CG6.final	102	3688669	159029	55020	71
T1_CG7.contigs	185	3751615	235653	59375	71
T1_CG7.final	86	3708837	235653	59375	71
T1_CG8.contigs	281	3756905	129957	39567	71
T1_CG8.final	133	3677556	129957	40571	71
T1_CG9.contigs	65	3738864	382829	200357	71
T1_CG9.final	35	3723994	382829	200357	71
T1_LE1.contigs	75	3738909	301269	107182	71
T1_LE1.final	48	3727206	301269	107182	71
T1_LE11.contigs	77	3738060	216147	120387	71
T1_LE11.final	60	3728404	216147	120387	71
T1_LE12.contigs	222	3751605	143513	47722	71
T1_LE12.final	113	3699668	143513	47730	71
T1_LE13.contigs	70	3739573	250153	129244	71
T1_LE13.final	42	3726298	250153	129244	71
T1_LE14.contigs	78	3739382	298212	94100	71
T1_LE14.final	56	3729201	298212	94100	71
T1_LE15.contigs	50	3739084	444050	216143	71
T1_LE15.final	30	3730794	444050	216143	71
T1_LE16.contigs	262	3758847	136224	47948	71
T1_LE16.final	112	3702079	136224	47948	71
T1_LE17.contigs	163	3734474	169856	45551	71
T1_LE17.final	92	3084538	169856	54011	70
T1_LE18.contigs	120	3737384	216143	77403	71
T1_LE18.final	81	3688276	216143	85570	71
T1_LE19.contigs	81	3739192	301753	147005	71
T1_LE19.final	52	3727793	301753	147005	71
T1_LE2.contigs	58	3739768	608899	204716	71
T1_LE2.final	33	3729250	608899	204716	71
T1_LE20.contigs	82	3738334	216144	109054	71
T1_LE20.final	64	3721125	216144	109054	71
T1_LE21.contigs	94	3740684	216147	95384	71
T1_LE21.final	58	3725234	216147	95384	71
T1_LE22.contigs	71	3739876	250127	124407	71
T1_LE22.final	42	3722527	250127	124407	71
T1_LE23.contigs	269	3760351	137928	43954	71
T1_LE23.final	110	3678008	137928	44243	71
T1_LE24.contigs	153	3735475	216143	54038	71
T1_LE24.final	87	3080037	216143	54854	70
T1_LE25.contigs	72	3740150	412399	129230	71
T1_LE25.final	42	3727395	412399	129230	71
T1_LE26.contigs	60	3739762	391529	286202	71
T1_LE26.final	35	3733168	391529	286202	71
T1_LE27.contigs	76	3740274	332397	121164	71
T1_LE27.final	43	3728586	332397	121164	71
T1_LE28.contigs	76	3738601	277594	132432	71
T1_LE28.final	50	3729685	277594	132432	71
T1_LE29.contigs	73	3739464	329476	129892	71
T1_LE29.final	48	3726093	329476	129892	71
T1_LE3.contigs	69	3739188	337446	152346	71
T1_LE3.final	45	3725201	337446	152346	71
T1_LE30.contigs	67	3741671	369838	200314	71
T1_LE30.final	35	3731069	369838	200314	71
T1_LE31.contigs	164	3739352	198581	50106	71
T1_LE31.final	116	3695940	198581	50106	71
T1_LE32.contigs	73	3738937	238613	112453	71
T1_LE32.final	51	3730120	238613	112453	71
T1_LE33.contigs	111	3737936	226596	57899	71
T1_LE33.final	79	3705548	226596	62478	71
T1_LE34.contigs	96	3738160	216142	97544	71
T1_LE34.final	65	3688654	216142	97544	71
T1_LE35.contigs	202	3752132	248765	61958	71
T1_LE35.final	90	3703321	248765	61958	71
T1_LE36.contigs	86	3740093	297690	98767	71
T1_LE36.final	59	3726889	297690	98767	71
T1_LE37.contigs	237	3755596	219471	51216	71
T1_LE37.final	100	3693814	219471	52653	71
T1_LE38.contigs	76	3738851	309481	129252	71
T1_LE38.final	50	3720490	309481	129252	71
T1_LE39.contigs	90	3741208	310842	123958	71
T1_LE39.final	52	3724713	310842	123958	71
T1_LE4.contigs	78	3739820	481369	159378	71
T1_LE4.final	45	3727915	481369	159378	71
T1_LE40.contigs	79	3738512	477829	138548	71
T1_LE40.final	55	3726880	477829	138548	71
T1_LE41.contigs	116	3738407	141308	80421	71
T1_LE41.final	83	3698416	141308	83378	71
T1_LE42.contigs	117	3739192	239939	73219	71
T1_LE42.final	83	3701720	239939	73219	71
T1_LE43.contigs	219	3734166	118576	31950	71
T1_LE43.final	65	1859763	118576	43487	70
T1_LE44.contigs	95	3740339	309310	105373	71
T1_LE44.final	59	3727790	309310	105373	71
T1_LE45.contigs	107	3739712	228019	85648	71
T1_LE45.final	69	3705550	228019	87200	71
T1_LE46.contigs	95	3737045	218460	85192	71
T1_LE46.final	70	3713177	218460	85192	71
T1_LE47.contigs	79	3738514	221930	114593	71
T1_LE47.final	50	3724801	221930	114593	71
T1_LE48.contigs	75	3738725	301323	114101	71
T1_LE48.final	50	3720057	301323	114101	71
T1_LE49.contigs	54	3738695	394655	219431	71
T1_LE49.final	31	3730164	394655	219431	71
T1_LE5.contigs	189	3747645	240243	66673	71
T1_LE5.final	87	3690261	240243	66673	71
T1_LE50.contigs	80	3740456	230023	138625	71
T1_LE50.final	50	3728451	230023	138625	71
T1_LE51.contigs	126	3739675	235675	77280	71
T1_LE51.final	82	3700209	235675	77280	71
T1_LE53.contigs	55	3738445	342303	171177	71
T1_LE53.final	38	3729193	342303	171177	71
T1_LE54.contigs	343	3763831	122212	29542	71
T1_LE54.final	151	3637597	122212	30647	71
T1_LE55.contigs	62	3739164	338947	164831	71
T1_LE55.final	39	3719390	338947	164831	71
T1_LE56.contigs	64	3739417	301283	161128	71
T1_LE56.final	39	3728555	301283	161128	71
T1_LE57.contigs	68	3739613	324948	170745	71
T1_LE57.final	42	3728456	324948	170745	71
T1_LE58.contigs	93	3739540	301317	96677	71
T1_LE58.final	69	3728899	301317	96677	71
T1_LE59.contigs	113	3738200	169853	78571	71
T1_LE59.final	78	3711315	169853	79338	71
T1_LE6.contigs	62	3739007	470108	114649	71
T1_LE6.final	43	3728028	470108	114649	71
T1_LE60.contigs	87	3739748	250175	129228	71
T1_LE60.final	61	3725417	250175	129613	71
T1_LE61.contigs	55	3738373	506029	166648	71
T1_LE61.final	35	3728328	506029	166648	71
T1_LE62.contigs	346	3765005	118507	35040	71
T1_LE62.final	147	3654992	118507	36505	71
T1_LE63.contigs	141	3738143	225030	57870	71
T1_LE63.final	95	3688296	225030	57870	71
T1_LE64.contigs	83	3739262	363502	149670	71
T1_LE64.final	54	3725112	363502	149670	71
T1_LE7.contigs	69	3739813	342631	134220	71
T1_LE7.final	43	3725445	342631	167546	71
T1_LE8.contigs	77	3738964	409499	107993	71
T1_LE8.final	49	3727475	409499	107993	71
T1_WG1.contigs	83	3739073	361351	151013	71
T1_WG1.final	56	3721499	361351	151013	71
T1_WG10.contigs	136	3735812	216153	57878	71
T1_WG10.final	102	3674930	216153	57878	71
T1_WG11.contigs	109	3737008	216018	61146	71
T1_WG11.final	87	3707766	216018	61890	71
T1_WG12.contigs	180	3750415	198952	85158	71
T1_WG12.final	78	3712483	198952	85158	71
T1_WG13.contigs	105	3739916	240810	87808	71
T1_WG13.final	71	3723284	240810	87808	71
T1_WG14.contigs	130	3736462	216143	54060	71
T1_WG14.final	85	3574095	216143	55075	71
T1_WG15.contigs	178	3737221	216150	45148	71
T1_WG15.final	127	3664298	216150	45526	71
T1_WG16.contigs	144	3737366	216147	57830	71
T1_WG16.final	106	3706679	216147	57830	71
T1_WG17.contigs	73	3738813	394607	119228	71
T1_WG17.final	51	3728401	394607	119228	71
T1_WG18.contigs	1393	3646412	43702	4158	70
T1_WG19.contigs	64	3739644	386563	282052	71
T1_WG19.final	30	3721966	386563	282052	71
T1_WG2.contigs	120	3738442	198561	68551	71
T1_WG2.final	85	3702706	198561	68551	71
T1_WG20.contigs	225	3753345	184008	51334	71
T1_WG20.final	109	3705931	184008	51334	71
T1_WG21.contigs	88	3738531	235135	93175	71
T1_WG21.final	59	3707018	235135	93175	71
T1_WG22.contigs	88	3739131	376886	111868	71
T1_WG22.final	55	3719114	376886	112301	71
T1_WG23.contigs	88	3739061	390581	96319	71
T1_WG23.final	60	3721514	390581	96319	71
T1_WG24.contigs	67	3738808	467552	171182	71
T1_WG24.final	40	3727803	467552	171182	71
T1_WG25.contigs	77	3737658	287942	129439	71
T1_WG25.final	58	3724775	287942	129439	71
T1_WG26.contigs	59	3738169	440728	200342	71
T1_WG26.final	36	3727727	440728	200342	71
T1_WG27.contigs	55	3739139	342212	180778	71
T1_WG27.final	32	3727114	342212	180778	71
T1_WG28.contigs	65	3738322	301328	192651	71
T1_WG28.final	38	3725689	301328	192651	71
T1_WG3.contigs	84	3738749	342301	136440	71
T1_WG3.final	58	3723357	342301	136440	71
T1_WG30.contigs	69	3738749	221020	127020	71
T1_WG30.final	46	3723683	221020	127020	71
T1_WG31.contigs	82	3737971	361167	103770	71
T1_WG31.final	59	3725478	361167	103770	71
T1_WG32.contigs	109	3739452	282640	85610	71
T1_WG32.final	72	3711816	282640	85610	71
T1_WG33.contigs	61	3739037	374262	170789	71
T1_WG33.final	38	3728592	374262	170789	71
T1_WG34.contigs	72	3739056	459620	145347	71
T1_WG34.final	45	3719078	459620	145347	71
T1_WG35.contigs	353	3723859	76999	18086	71
T1_WG36.contigs	83	3740421	309474	125045	71
T1_WG36.final	45	3724259	309474	125045	71
T1_WG37.contigs	82	3740045	235731	115249	71
T1_WG37.final	52	3707505	235731	121767	71
T1_WG38.contigs	90	3739979	442183	115229	71
T1_WG38.final	52	3714063	442183	115229	71
T1_WG39.contigs	106	3742016	290458	94948	71
T1_WG39.final	64	3722439	290458	94948	71
T1_WG4.contigs	89	3738201	257620	103777	71
T1_WG4.final	62	3716195	257620	112452	71
T1_WG40.contigs	103	3738454	289645	87454	71
T1_WG40.final	76	3711480	289645	87454	71
T1_WG41.contigs	139	3737928	216147	53786	71
T1_WG41.final	105	3692334	216147	53786	71
T1_WG42.contigs	56	3738860	382978	192715	71
T1_WG42.final	37	3727238	382978	192715	71
T1_WG43.contigs	3	603	266	259	76
T1_WG44.contigs	66	3738986	377023	137956	71
T1_WG44.final	44	3728589	377023	137956	71
T1_WG45.contigs	93	3738780	216147	95343	71
T1_WG45.final	67	3727967	216147	95343	71
T1_WG46.contigs	57	3739202	413150	192725	71
T1_WG46.final	33	3724564	413150	192725	71
T1_WG47.contigs	116	3738211	244469	69201	71
T1_WG47.final	85	3705147	244469	69201	71
T1_WG48.contigs	87	3739720	376891	102459	71
T1_WG48.final	56	3725562	376891	102459	71
T1_WG6.contigs	70	3739358	346153	148486	71
T1_WG6.final	35	3723267	346153	148486	71
T1_WG7.contigs	85	3738990	332396	93949	71
T1_WG7.final	54	3710276	332396	99829	71
T1_WG8.contigs	57	3738978	405081	190726	71
T1_WG8.final	34	3728462	405081	190726	71
T2_CG01.contigs	3788	4864353	682720	192727	67
T2_CG01.final	21	3728878	682720	345676	71
T2_CG02.contigs	326	3819462	765240	262047	70
T2_CG02.final	20	3730426	765240	262047	71
T2_CG03.contigs	687	3811859	81974	16626	70
T2_CG03.final	12	388100	81974	60200	68
T2_CG04.contigs	1961	4286344	879268	281979	69
T2_CG04.final	23	3730937	879268	290994	71
T2_CG05.contigs	1697	3734847	45855	4156	70
T2_CG06.contigs	1953	3935232	53102	5024	69
T2_CG07.contigs	3233	4698075	723699	181242	67
T2_CG07.final	30	3731116	723699	289356	71
T2_CG08.contigs	4012	4943762	948150	283803	67
T2_CG08.final	15	3731158	948150	311261	71
T2_CG09.contigs	1539	4162528	840345	342817	69
T2_CG09.final	18	3731143	840345	382641	71
T2_CG10.contigs	1915	4285204	986963	342901	69
T2_CG10.final	14	3729321	986963	390155	71
T2_CG11.contigs	359	3819591	487891	262434	70
T2_CG11.final	32	3731046	487891	262434	71
T2_CG12.contigs	735	3912493	654627	189623	69
T2_CG12.final	40	3729740	654627	219552	71
T2_CG13.contigs	4040	8465082	525729	75744	61
T2_CG13.final	36	4798324	525729	234887	56
T2_CG14.contigs	12828	10707445	666746	1150	53
T2_CG14.final	38	4810782	666746	227641	55
T2_CG15.contigs	3735	8517506	847599	68222	61
T2_CG15.final	38	4815023	847599	232885	55
T2_CG16.contigs	5483	7759398	568918	100515	59
T2_CG16.final	50	5192309	568918	162784	54
T2_CG17.contigs	3341	9053606	561511	64238	60
T2_CG17.final	46	5204657	561511	227550	54
T2_CG18.contigs	2598	5523941	330137	144113	56
T2_CG18.final	50	4714554	330137	171372	55
T2_CG19.contigs	856	3959893	902691	376201	70
T2_CG19.final	25	3730763	902691	376201	71
T2_CG20.contigs	575	3801957	156442	20399	70
T2_CG20.final	46	1222391	156442	48622	70
T2_CG21.contigs	440	3811340	259981	45446	70
T2_CG21.final	115	3682308	259981	47481	71
T2_CG22.contigs	999	3991696	590627	154727	69
T2_CG22.final	38	3731637	590627	198603	71
T2_CG23.contigs	1966	9498414	709768	125406	60
T2_CG23.final	101	8925117	709768	133175	61
T2_CG24.contigs	770	3903743	301338	40057	70
T2_CG24.final	121	3680662	301338	44723	71
T2_CG25.contigs	3305	5943007	475413	198853	58
T2_CG25.final	34	4811097	475413	211409	55
T2_CG26.contigs	1787	4236059	840344	287214	69
T2_CG26.final	17	3731089	840344	287214	71
T2_CG27.contigs	862	3937408	301266	55639	70
T2_CG27.final	89	3695989	301266	62468	71
T2_CG28.contigs	1564	4167792	869902	422414	69
T2_CG28.final	17	3731222	869902	539460	71
T2_CG29.contigs	722	3929797	685497	342901	70
T2_CG29.final	16	3727307	685497	342901	71
T2_CG30.contigs	700	3805612	71416	14660	70
T2_CG30.final	9	249209	45655	35236	68
T2_CG31.contigs	501	3812247	106572	31481	70
T2_CG31.final	141	3327425	106572	31799	70
T2_CG32.contigs	1250	4085138	701489	308639	69
T2_CG32.final	22	3727157	701489	311515	71
T2_CG33.contigs	596	3881709	740975	191649	70
T2_CG33.final	33	3729014	740975	191649	71
T2_CG34.contigs	489	3833722	248987	60754	70
T2_CG34.final	96	3697479	248987	62658	71
T2_CG35.contigs	771	9722354	760138	92412	52
T2_CG35.final	35	4006098	760138	222307	68
T2_CG36.contigs	5451	9275553	426367	4221	52
T2_CG36.final	63	3735702	426367	90774	70
T2_CG37.contigs	768	3918972	301344	86564	70
T2_CG37.final	80	3717428	301344	91049	71
T2_CG38.contigs	573	3865800	370425	105429	70
T2_CG38.final	54	3728950	370425	139223	71
T2_CG39.contigs	5275	5362757	520044	191074	65
T2_CG39.final	18	3731107	520044	326761	71
T2_CG40.contigs	1751	3750739	43791	4037	70
T2_CG40.final	1	14993	14993	14993	65
T2_CG41.contigs	9068	21125036	1313328	110533	58
T2_CG41.final	114	13287193	1313328	282061	56
T2_CG42.contigs	2491	4465408	606949	237966	68
T2_CG42.final	27	3730901	606949	273273	71
T2_CG43.contigs	2460	9651659	489799	77416	51
T2_CG43.final	38	4240428	489799	295722	40
T2_CG44.contigs	5643	5508347	685481	157668	65
T2_CG44.final	24	3730824	685481	233542	71
T2_CG45.contigs	16328	16160639	299351	1535	52
T2_CG45.final	105	4752778	299351	78736	55
T2_CG46.contigs	1171	4053349	773791	243437	69
T2_CG46.final	22	3730412	773791	275079	71
T2_CG47.contigs	12338	13823523	1306481	89870	54
T2_CG48.contigs	774	3854755	110718	19209	70
T2_CG48.final	174	3093168	110718	23037	70
T2_WG01.contigs	529	3847104	232315	72416	70
T2_WG01.final	79	3707049	232315	77686	71
T2_WG02.contigs	3784	4878564	865610	342901	67
T2_WG02.final	20	3739258	865610	539377	71
T2_WG03.contigs	1209	4062533	789203	342636	70
T2_WG03.final	20	3728278	789203	507957	71
T2_WG04.contigs	3142	4682218	896755	265765	67
T2_WG04.final	21	3730873	896755	291090	71
T2_WG05.contigs	462	3858995	361475	220423	70
T2_WG05.final	36	3736686	361475	220423	71
T2_WG06.contigs	1647	7893162	508040	215757	56
T2_WG06.final	58	7434048	508040	237455	57
T2_WG07.contigs	3563	4849544	988703	209887	67
T2_WG07.final	16	3731327	988703	682653	71
T2_WG08.contigs	333	3814988	429770	189084	70
T2_WG08.final	29	3731530	429770	189084	71
T2_WG09.contigs	2526	4458862	1108303	446133	68
T2_WG09.final	11	3730686	1108303	988349	71
T2_WG10.contigs	2076	4320360	1151094	370276	68
T2_WG10.final	20	3739859	1151094	377097	71
T2_WG11.contigs	1480	4132015	912972	376834	69
T2_WG11.final	14	3730916	912972	376834	71
T2_WG12.contigs	513	3809868	105411	28770	70
T2_WG12.final	118	2805249	105411	29147	70
T2_WG13.contigs	1488	4148416	575271	208541	69
T2_WG13.final	28	3731114	575271	311622	71
T2_WG14.contigs	1241	4067615	645011	311469	70
T2_WG14.final	18	3730622	645011	311469	71
T2_WG15.contigs	1451	4124760	988731	403311	69
T2_WG15.final	14	3731186	988731	922087	71
T2_WG16.contigs	602	3894875	539372	290968	70
T2_WG16.final	20	3727932	539372	311266	71
T2_WG17.contigs	883	3973997	1347600	422367	70
T2_WG17.final	10	3730679	1347600	539371	71
T2_WG18.contigs	734	3924521	609864	205308	70
T2_WG18.final	28	3729901	609864	222307	71
T2_WG19.contigs	442	3851500	772274	262441	70
T2_WG19.final	19	3730993	772274	262441	71
T2_WG20.contigs	1842	4245589	986454	498491	69
T2_WG20.final	12	3730529	986454	498491	71
T2_WG21.contigs	431	3831206	378222	114863	70
T2_WG21.final	51	3720851	378222	114863	71
T2_WG22.contigs	506	3831471	237240	45783	70
T2_WG22.final	118	3702292	237240	50049	71
T2_WG23.contigs	4230	1526977	3740	359	69
T2_WG24.contigs	1331	4102076	922072	363656	69
T2_WG24.final	14	3731018	922072	403100	71
T2_WG25.contigs	1405	4135247	988383	345354	69
T2_WG25.final	20	3738518	988383	471490	71
T2_WG26.contigs	440	3845363	709322	179757	70
T2_WG26.final	40	3736072	709322	179757	71
T2_WG27.contigs	2873	8505554	920339	291045	56
T2_WG27.final	38	7686618	920339	371403	57
T2_WG28.contigs	5706	8233531	436279	80241	49
T2_WG28.final	59	5551284	436279	161350	40
T2_WG29.contigs	3894	4904441	789202	192708	67
T2_WG29.final	21	3728757	789202	532554	71
T2_WG30.contigs	3900	4936405	737787	209879	67
T2_WG30.final	14	3730547	737787	618468	71
T2_WG31.contigs	1326	4089394	1041081	400690	69
T2_WG31.final	14	3731301	1041081	400690	71
T2_WG32.contigs	341	3803245	363379	91475	70
T2_WG32.final	64	3727020	363379	92060	71
T2_WG33.contigs	1254	4083219	828671	655779	69
T2_WG33.final	13	3730144	828671	655779	71
T2_WG34.contigs	1759	8190382	918753	273142	56
T2_WG34.final	51	7678091	918753	278130	57
T2_WG35.contigs	511	3795055	128767	21794	70
T2_WG35.final	59	1290254	128767	34216	70
T2_WG36.contigs	2513	4450043	873876	449318	68
T2_WG36.final	12	3730671	873876	589268	71
T2_WG37.contigs	729	3874960	157629	33743	70
T2_WG37.final	133	3399785	157629	38756	70
T2_WG38.contigs	1718	4223330	840346	265874	69
T2_WG38.final	18	3730605	840346	308056	71
T2_WG39.contigs	2200	4354732	838244	377095	68
T2_WG39.final	24	3729395	838244	377095	71
T2_WG40.contigs	2890	4576453	442413	85163	68
T2_WG40.final	55	3718925	442413	104896	71
T2_WG41.contigs	2182	4342640	632904	196946	69
T2_WG41.final	32	3730471	632904	214033	71
T2_WG42.contigs	3773	4826278	586649	214975	67
T2_WG42.final	25	3730961	586649	254578	71
T2_WG43.contigs	1646	4199474	663919	243537	69
T2_WG43.final	22	3730746	663919	250165	71
T2_WG44.contigs	1187	4053405	1278643	311265	69
T2_WG44.final	17	3730986	1278643	342901	71
T2_WG45.contigs	2585	4461132	644925	342901	68
T2_WG45.final	16	3729577	644925	387703	71
T2_WG46.contigs	464	3847504	631074	262430	70
T2_WG46.final	25	3730550	631074	262430	71
T2_WG47.contigs	1752	4227182	668623	394660	69
T2_WG47.final	16	3730938	668623	400686	71
T2_WG48.contigs	487	3849047	363246	181891	70
T2_WG48.final	42	3729460	363246	181891	71
T3_CG01.contigs	770	3931299	736386	447465	70
T3_CG01.final	20	3731383	736386	447465	71
T3_CG02.contigs	293	3781372	287785	55636	70
T3_CG02.final	91	3698726	287785	60528	71
T3_CG03.contigs	1565	4144532	789201	185867	69
T3_CG03.final	36	3726902	789201	196182	71
T3_CG04.contigs	2073	4295258	826915	238077	69
T3_CG04.final	22	3729228	826915	283290	71
T3_CG05.contigs	505	3843135	278347	73993	70
T3_CG05.final	85	3710658	278347	84046	71
T3_CG06.contigs	558	3861689	394678	102738	70
T3_CG06.final	56	3719441	394678	102738	71
T3_CG07.contigs	637	3896061	378965	191583	70
T3_CG07.final	41	3730783	378965	192716	71
T3_CG08.contigs	703	3846530	85535	24536	70
T3_CG08.final	42	1008062	85535	32961	70
T3_CG09.contigs	284	3789918	301322	102202	70
T3_CG09.final	61	3717528	301322	109654	71
T3_CG10.contigs	238	3789210	515113	308355	70
T3_CG10.final	19	3730765	515113	308355	71
T3_CG11.contigs	424	3818825	220577	84015	70
T3_CG11.final	83	3710386	220577	85683	71
T3_CG12.contigs	2278	4220102	167356	57399	70
T3_CG12.final	78	3513257	167356	67610	71
T3_CG13.contigs	4256	8179775	636973	158507	60
T3_CG13.final	55	6708463	636973	225233	59
T3_CG14.contigs	3737	9734573	514158	35113	61
T3_CG14.final	31	4678605	514158	212546	53
T3_CG15.contigs	3367	7190010	507600	134514	65
T3_CG15.final	61	6089138	507600	149306	64
T3_CG16.contigs	5289	9400495	445495	12946	61
T3_CG16.final	31	4678389	445495	274094	53
T3_CG17.contigs	2862	4512333	428043	167686	68
T3_CG17.final	28	3731082	428043	222249	71
T3_CG18.contigs	5177	6961687	435410	185342	60
T3_CG18.final	37	4806686	435410	233048	56
T3_CG19.contigs	1027	3990339	273569	51941	70
T3_CG19.final	112	3693419	273569	55730	71
T3_CG20.contigs	517	3852350	410981	93409	70
T3_CG20.final	58	3719048	410981	93409	71
T3_CG21.contigs	524	3867526	631492	194244	70
T3_CG21.final	39	3732805	631492	209241	71
T3_CG22.contigs	3178	4279520	42603	4594	69
T3_CG22.final	1	7685	7685	7685	65
T3_CG23.contigs	1927	4240093	172438	37255	69
T3_CG23.final	128	3675127	172438	43253	71
T3_CG24.contigs	414	3833010	378214	216651	70
T3_CG24.final	29	3729236	378214	216651	71
T3_CG25.contigs	589	3881097	406780	210207	70
T3_CG25.final	28	3729880	406780	210207	71
T3_CG26.contigs	2252	4301231	96268	30557	69
T3_CG26.final	150	3630582	96268	36365	71
T3_CG27.contigs	781	3933004	533767	284904	70
T3_CG27.final	25	3731172	533767	284904	71
T3_CG28.contigs	593	3880697	301333	92006	70
T3_CG28.final	59	3720090	301333	94151	71
T3_CG29.contigs	924	3978585	394660	102752	70
T3_CG29.final	62	3730795	394660	104916	71
T3_CG30.contigs	5768	5745586	454485	61494	70
T3_CG30.final	47	3464844	454485	93982	71
T3_CG31.contigs	768	3925778	378196	150748	70
T3_CG31.final	43	3729177	378196	160247	71
T3_CG32.contigs	444	3847071	434181	200797	70
T3_CG32.final	30	3736430	434181	236436	71
T3_CG33.contigs	277	3775274	301201	65504	70
T3_CG33.final	93	3685209	301201	65504	71
T3_CG34.contigs	3142	4606232	533867	337110	68
T3_CG34.final	21	3730731	533867	342901	71
T3_CG35.contigs	837	3952369	789211	308610	70
T3_CG35.final	30	3728801	789211	308610	71
T3_CG36.contigs	818	3938834	349979	114576	70
T3_CG36.final	46	3731220	349979	115511	71
T3_CG37.contigs	575	3862077	301332	89245	70
T3_CG37.final	69	3720244	301332	92065	71
T3_CG38.contigs	1077	4006775	530418	126469	70
T3_CG38.final	45	3729328	530418	172175	71
T3_CG39.contigs	1018	4003103	456561	157668	70
T3_CG39.final	43	3722569	456561	195973	71
T3_CG40.contigs	293	3784574	301324	70120	70
T3_CG40.final	87	3726852	301324	73687	71
T3_CG41.contigs	829	3954875	630840	301329	70
T3_CG41.final	23	3731316	630840	301329	71
T3_CG42.contigs	355	3803001	301322	76320	70
T3_CG42.final	75	3715428	301322	76320	71
T3_CG43.contigs	663	3896726	671628	220507	70
